input,target,prediction
tamilpetromarine,டமில்பெட்ரோமரைன்,தமில்ச்பரிரமேனே
estate,எஸ்டேட்,எஸ்டேடே
shillong,ஷில்லாங்,சில்லோங்
nayathodu,நயத்தோடு,ஹாயோடு
narampukalai,நரம்புகளை,நரம்புகளை
piraveen,பிரவீன்,பிரவேன்
geethayil,கீதையில்,கீதாயில்
punnakaiyudan,புன்னகையுடன்,புன்னகையுடன்
taeta,டாடா,டேட
vathanthigal,வதந்திகள்,வதந்திகள்
yeppadiyum,எப்படியும்,யெப்படியும்
aakast,ஆகஸ்ட்,ஆகாஸ்ட்
suchi,சுசி,சுசிசி
uruppinarumaana,உறுப்பினருமான,உருப்பினருமான
wade,வேட்,வடே
thayavila,தயவில,தயவில
tharakuutiya,தரக்கூடிய,தரகுடிய
betty,பீட்டி,பெட்டி
isaikkaruviyai,இசைக்கருவியை,இசைக்கருவியை
kondirunthavargaludan,கொண்டிருந்தவர்களுடன்,கொண்டிருந்தர்கள்கள்்
uruppum,உறுப்பும்,உருப்பும்
makaechan,மகேசன்,மகசசன்
viththiyaa,வித்தியா,வித்தியா
unavugalukkaagavum,உணவுகளுக்காகவும்,உணவுகளுக்காகவும்
shailaja,சைலஜா,சைலசா
rasa,ரச,ரசாச
kadarkaraikku,கடற்கரைக்கு,கடர்கைற்கு
puuttu,பூட்டு,படட்டு
dhar,தார்,தர்
amsangkalil,அம்சங்களில்,அம்சங்களில்
sandhia,சந்தியா,சந்தியா
wathore,வாதோர்,வாதரே
ariviyalaalaridaiye,அறிவியலாளரிடையே,அறிவியாளளர்டையை
yesuppaaniya,எசுப்பானிய,யெயுப்பானிய
paruman,பருமன்,பருமன்
hoshangabad,ஹோஷங்காபாத்,ஷோஷங்கப்
seyalpatumpoothu,செயல்படும்போது,செயல்படுப்போடு
saathiyilar,சாதியிலர்,சாதியிலர்
sambradhayamaana,சம்பிரதாயமான,சம்பரியமான
pazhu,பழு,பழு
makaa,மகா,மாக
linaks,லினக்ஸ்,லின்ச்்
ayilvaai,அயில்வாய்,அய்ல்வாய்
seamec,ஸீமெக்,சீமாச்
upayoogaththilirunthu,உபயோகத்திலிருந்து,உபயூகதிலிருந்துு
kuru,குறு,குரு
irukkiraargalthaaney,இருக்கிறார்கள்தானே,இருக்கிறாக்காத்தான்
tarbo,டர்போ,தார்போ
kalanthaalaam,கலந்தாளாம்,கலந்தாலாம்
lang,லங்,லா்்
yerpaduvatharku,ஏற்படுவதற்கு,யெற்படுவதற்கு
neelasal,நீலாசல்,நீலச்்
chinthitthal,சிந்தித்தல்,சின்தித்லல்
thambulam,தாம்பூலம்,தம்புலம்
ilakka,இலக்க,இலக்க
ithalaaka,இதழாக,இதலாக
pinburamaaka,பின்புறமாக,பின்புறமாக
siemens,சீமெண்ஸ்,செயம்்்
reeves,ரீவ்ஸ்,ரேவேச்
koovalanum,கோவலனும்,கோலவனும்
aayiram,ஆயிரம்,ஆய்ரம்
akazhaayvil,அகழாய்வில்,அகாலாியி்
kootanyil,கூட்டண்யில்,கூடன்யில்
bauer,பௌவர்,பேர்
yourik,யூரிக்,யூரிக்
pirachanaiyaga,பிரச்சனையாக,பிரசசசையக
koottangalin,கூட்டங்களின்,கோட்டங்களின்
kootpaatu,கோட்பாடு,கோட்பாடு
urakka,உரக்க,உரக்க
noble,நோபல்,நோப்லே
letiin,லத்தீன்,லெடியின்
kaathalukku,காதலுக்கு,காதலுக்கு
mugammathu,முகம்மது,முகம்மது
zorddan,ஜோர்டான்,ரோர்த்்்
thamizhagap,தமிழகப்,தமிழக்
sipper,செய்பவர்,சிப்பெர்
bhukya,புக்யா,புக்யா
satii,சதி,சடியி
kadarkarai,கடற்கரை,கடர்கரை
thota,தொட,தோட்
jammu,ஜம்மு,ஜம்மு
sikanamana,சிக்கனமான,சிகனமான
anthony,அந்தோனி,அந்தோன்
agamadhabaath,அகமதாபாத்,அகமதாதத்
scent,சென்ட்,சாஸ்ட்ட்
saravanabhavan,சரவணபவன்,சரவனாபவன்
sentrulla,சென்றுள்ள,சென்றுள்ள
eduththukolgiren,எடுத்துக்கொள்கிறேன்,எடுத்துக்கொள்வின்
periyathu,பெரியது,பெரியது
aayiraththai,ஆயிரத்தை,ஆயிர்ததை
iyamvo,இயம்வோ,இயம்வோ
thaniththani,தனித்தனி,தனித்தின
payanikalaip,சுற்றுலாப்,பயனிகளைப்
yevar,எவர்,வெயர்
noblesville,நோபல்ஸ்வில்லே,நோப்லிலெல்விலே
kejiyaaga,கேஜியாக,கெஜியாக
vishaakaa,விஷாகா,விசாகா
vazhakkukalaiyum,வழக்குகளையும்,வழக்குகளையும்
vaagananggalaiyum,வாகனங்களையும்,வாகஙங்களையும்
seyyappattullathaaga,செய்யப்பட்டுள்ளதாக,செய்யப்பட்டுள்ளதாக
kandedukkappattathu,கண்டெடுக்கப்பட்டது,கண்டீடுக்கப்பட்டது
thodarbalar,தொடர்பாளர்,தொடர்பளர்
kaartikeeyan,கார்த்திகேயன்,கார்த்கியேன்
meinaruviyila,மெயினருவியில,மென்யருவையில
jean,ஜேன்,ஜென்
panigalaip,பணிகளைப்,பணிகளைப்
thodaathavargalukkum,தொடாதவர்களுக்கும்,தொடாதவர்களுக்கும்
muraik,முறைஃ,முறைக்
chollukkaana,சொல்லுக்கான,சொல்லுக்கான
heriss,ஹாரிஸ்,ஹெரிச்
jeyikka,ஜெயிக்க,ஜெய்க்க
kuuttavum,கூட்டவும்,குட்டவும்
madina,மதீனா,மடின
muhammad,முகம்மது,மாமம்ட்
sangankal,சங்கங்கள்,சங்கங்கள்
evatrtrukkum,இவற்றுக்கும்,எவற்றுக்கும்
udhayamaavadharkuch,உதயமாவதற்குச்,உதயமாவுகத்ககச்
sangath,சங்கத்,சங்கத்
pulampach,புலம்பச்,புலம்பச்
uraiyaattriya,உரையாற்றிய,உறையாற்றிய
yuii,யூ,யுயி
nuzhainthiruppaargal,நுழைந்திருப்பார்கள்,நுழைந்திருப்பா்்கள்
paik,பேக்,பைக்
asok,அசோகா,அசோக்
uloom,உலூம்,உலமோ
kaalatthaic,காலத்தைச்,காலத்தைக்
ring,ரிங்க்,ரிங்
ezhuththukkalilthaan,எழுத்துக்களில்தான்,எழுத்துகள்களி்தான்
soozhappattathu,சூழப்பட்டது,சூழப்பட்டது
peepe,பீபி,பீயே
thapasu,தபசு,பாசு
surver,சர்வர்,கார்வர்
abul,அபுல்,அபுல்
toobaggoo,டொபாகோ,தோகக்கோ
vadikkappattathu,வடிக்கப்பட்ட,வடிக்கப்பட்டது
rafael,ரபேல்,ராஜலே
siththasramaththai,ஸித்தாஸ்ரமத்தை,சித்தசரமாதததை
tharakkuutiya,தரக்கூடிய,தரக்குடியு
amerika,அமெரிக்கா,அமேரிக
sivanthu,சிவந்து,சிவந்து
thokupaiyum,தொகுப்பையும்,தொகுபையும்
baurnami,பெளர்ணமி,பார்னமி
saey,சேய்,செய்
uththarappradesa,உத்தரப்பிரதேச,உத்தரப்பாசிட
chankat,சங்கத்,சங்காட்
vanji,வஞ்சி,விஜி
thamizhakaththilum,தமிழகத்திலும்,தமிழகத்திலும்
krishna,க்ரிஷ்ணா,கிர்ஷ்ன
boca,போகா,போகா
bhaskar,பாஸ்கர்,பாச்கர்
pinpatruvathenbathu,பின்பற்றுவதென்பது,பின்பற்றுவபோதனு
tamizhakatthilum,தமிழகத்திலும்,தமிககத்திலும்
donaldson,டொனால்ட்சன்,டோல்லி்்்்
paniyum,பணியும்,பணியும்
poathum,வாங்கும்,போதும்
duglas,டக்ளஸ்,டுக்லாஸ்
odeesee,ஒடிசி,ஓடீசே
latchanam,லட்சணம்,லட்சனம்
poonee,பூனீ,பூனே
biksbi,பிக்ஸ்பி,பிக்பிி
vladymyr,விளாடிமிர்,வ்டாய்மில்
bharathiya,பாரதிய,பாரதிய
kadarkaraiyilirundha,கடற்கரையிலிருந்து,கடற்களியிருந்த்த
kodooramaana,கொடூரமான,கொடூரமான
bhaavanaiyil,பாவனையில்,பாவனையில்
edirpaarkkum,எதிர்பார்க்கும்,எடிர்பார்க்கும்
sozharkalin,சோழர்களின்,சோரல்களின்
tabagoo,டொபாகோ,டாககோ
poonagariyil,பூநகரியில்,பூனகரியில்
pottavargalukkum,போட்டவர்களுக்கும்,பொட்டவர்களுக்கும்
nadigaiyaana,நடிகையான,நடிகையான
kuantum,குஅன்டம்,கான்டும்
mani,மணி,மனி
kangra,காங்ரா,கா்கர
sthaapaga,ஸ்தாபக,ஸ்தாபக
virumbugiradhu,விரும்புகிறது,விறும்புகிறது
deevid,டேவிட்,தீவிட்
babeel,பாபேல்,பாஜல்
solvathai,சொல்வதை,சொல்வதை
yookaththin,யோகத்தின்,யூகத்தின்
beetlez,பீட்டில்ஸ்,பீட்லே
nayam,நயம்,யாம்
thaengaip,தேங்காய்ப்,தேங்கைப்
mandaal,மண்டல்,மண்டால்
arivuruththugireergal,அறிவுறுத்துகிறீர்கள்,அறிவுறுவிட்றீர்கள்
vazhangiyullathagavum,வழங்கியுள்ளதாகவும்,வழங்கியுள்ளதாகவும்
ram,ராமா,ராம்
niraivuraiyodu,நிறைவுரையோடு,நிறைவுறையோடு
diipak,தீபக்,திபகக்
pootaan,பூடான்,போடான்
kuday,குடை,குடாய்
naro,நீரோ,ஹரோ
latin,லத்தீன்,லடின்
bara,பரா,பர்
mentor,மென்டார்,மேன்டோர்
chirumiyai,சிறுமியை,சிறுமியை
jaanakikkuththaan,ஜானகிக்குத்தான்,ஜனாக்கிகுத்தான்
seythathaagavum,செய்ததாகவும்,செய்தாதகவும்
telelinks,டெலிலிங்க்ஸ்,டெலலல்ஸ்ஸ்
pauula,பவுலா,பாலு
edukkappadavillai,எடுக்கப்படவில்லை,எடுக்கப்படவில்லை
padaiththathu,படைத்தது,படைத்தது
siriyap,சிரியப்,சிறியப்
ratnagiri,ரத்னகிரி,ரட்னகிிி
livarpuul,லிவர்பூல்,லிலற்புவு
serbiya,செர்பியா,செற்பிய
jaitley,ஜெட்லி,ஜெய்லிலே
brahmma,பிரம்ம,பிராம்மா
balmiki,பால்மிகி,பாலம்கி
thedhiyum,தேதியும்,தெதியும்
kondirukkumpoothu,கொண்டிருக்கும்போது,கொண்டிருக்கும்போது
sasanangal,சாசனங்கள்,சசனங்கள்
zeen,ஜென்,ீீன்
pottaar,போட்டார்,பொட்டார்
inthnikalvukku,இந்நிகழ்வுக்கு,இந்நிலைவிக்குகு
appaadal,அப்பாடல்,அப்பாடல்
pithon,பைதான்,பித்்்
arivadhu,அறிவது,அறிவது
avalaik,அவளைக்,அளலைக்
maasgoavin,மாஸ்கோவின்,மாச்சோவி்்
kankaanippaalar,கண்காணிப்பாளா்,கண்கணியாப்பார்
thozhilai,தொழிலை,தொழிலை
manju,மஞ்சு,மன்சு
maali,மாலி,மாலி
kuantam,குவாண்டம்,கான்டம்
kondirundhom,கொண்டிருந்தோம்,கொண்டிருந்தோம்
mugaththuvaaraththil,முகத்துவாரத்தில்,முகத்துவாரத்தில்
earpadaamal,ஏற்படாமல்,நற்படாம்
athirupthiyai,அதிருப்தியை,அதிருப்பியை
nirvaagangal,நிர்வாகங்கள்,நிற்வாகங்கள்
choazharkalin,சோழர்களின்,சோழர்களின்
anuradhapuraththil,அனுராதபுரத்தில்,அனுரபருத்ததில்
elakiri,ஏலகிரி,எலகிரி
vittum,விட்டும்,விட்டும்
villiams,வில்லியம்ஸ்,வில்லயம்
panguthararkalaka,பங்குதாரர்களாக,பங்குதர்களகக
elatchaththu,இலட்சத்து,எடம்சத்து
gowravikkum,கௌரவிக்கும்,கொரவவிக்கும்
saathaaranamaana,சாதாரணமான,சாதராமான
vungalukke,உங்களுக்கே,வுங்களுக்கே
mattravarghalthaan,மற்றவர்கள்தான்,மற்றவர்கள்தான்
seithathagavum,செய்ததாகவும்,செய்ததககும்
thoguththa,தொகுத்த,தொகுத்த
greenville,க்ரீன்வில்லே,கிரெண்லெல்வி
america,அமெரிக்கா,அமேர்சி
vatar,வாட்டர்,வடர்
sangavi,சங்கவை,சங்கவி
smartspaces,ஸ்மார்ட்ஸ்பேசஸ்,ஸ்ாார்்ப்சேச்
giitaa,கீதை,கிட்டா
thuraiviyum,துறவியும்,துறைவியும்
kalyana,கல்யாண,கல்யான
pangupetrullanar,பங்குபெற்றுள்ளனர்,பங்குச்பெருள்ளனர்
longmont,லாங்மாண்ட்,லால்மம்்்்
munnuthaaranamaaka,முன்னுதாரணமாக,முன்னுதாமமாாக
english,இங்கிலீஷ்,எல்கிிி்
rukmaniyidam,ருக்மணியிடம்,ருக்மணியிடம்
pirathyeagamaaga,பிரத்யேகமாக,பிறத்தேயாகக
chandel,சாண்டெல்,சந்தோல்
padaithu,படைத்து,படைது
jordan,ஜோர்தான்,ஜோர்தான்
edhirppaarkkum,எதிர்பார்க்கும்,எதிர்ப்பார்கககம்
manickka,மாணிக்க,மணிக்கக
maalikaiyil,மாளிகையில்,மாலிகையில்
kalaadi,கலாடி,கலாடி
poonaa,பூனா,போனா
cul,கூல்,குல்
valaithalanggalil,வலைதளங்களில்,வளைதலங்கள்ள்
vaakkugalai,வாக்குகளை,வாக்குகளை
paniyilum,பணியிலும்,பணியிலும்
sayreville,சேரிவில்லே,சார்வில்லே
gaurila,கொரில்லா,காரில
arena,அரேனா,அரெனா
ilakkam,இலக்கம்,இலக்கம்
thevargalukkaakavum,தேவர்களுக்காகவும்,தேவர்களுக்காகவும்
setees,சதீஷ்,செடேச்
japanin,ஜப்பானின்,ஜபனின்
tharunatthai,தருணத்தை,தருந்ததை
koottath,கூட்டத்,கூட்டத்
thatavi,தடவி,தடவி
kazhivarai,கழிவறை,கழிவரை
paakisthaanukku,பாகிஸ்தானுக்கு,பாசிந்தானுக்கு
karanamaakach,காரணமாகச்,கரணமாகச்
inriyum,இன்றியும்,இரினியும்
thaiththuvamaana,தனித்துவமான,தைத்துவாமான
raanuvath,ராணுவத்,ராணுவத்
nathiyaana,நதியான,நதியான
ashley,ஆஷ்லே,அஸ்லேய்
moorthigal,மூர்த்திகள்,மூர்திகள்
innoayai,இந்நோயை,இன்னோயை
thangiullathu,தங்கியுள்ளது,தங்குளில்து
kadalul,கடலுள்,கடலுள்
uruthiyudan,உறுதியுடன்,உறுதியுடன்
pisiyaaga,பிசியாக,பிசியாக
metti,மெட்டி,மேட்டி
paitan,பைதான்,பைட்்
aankalae,ஆண்களே,ஆண்களே
pirachnai,பிரச்னை,பிரச்சை
dayalan,தயாளன்,தயலன்
midland,மிட்லேண்ட்,மில்டன்ட்
cherrapunji,சிரப்புஞ்சி,செர்ரப்பசிி
servarukku,சர்வருக்கு,செர்வருக்கு
valaigutaavil,வளைகுடாவில்,வளைக்காடிவ்
haley,ஹாலே,எலேய்
poruththappattirukku,பொருத்தப்பட்டிருக்கு,பொறுத்தப்படுதிற்குகு
thoguppil,தொகுப்பில்,தொகுப்பில்
noolagangkalil,நூலகங்களில்,நூலகங்களில்
qyuba,கியூபா,சுயப்
calumet,களுமெட்,கலமெட்ட
jappaanai,ஜப்பானை,ஜப்பானை
radaar,ரேடார்,ராடார்
palatine,பலடைன்,படடின்
uudakap,ஊடகப்,ஊடக்க
kuuttattait,கூட்டத்தைத்,குட்டட்டைட்
mclaughlin,மெக்லாக்லின்,ம்லல்குழின்
indri,இன்றி,இன்றி
iruppaiyum,இருப்பையும்,இருப்பையும்
punch,பஞ்ச்,புன்
tamilaringar,தமிழறிஞர்,தமிலரிர்்்
malargalaik,மலர்களைக்,மலர்களைக்
srirangkaththil,ஸ்ரீரங்கத்தில்,ஸ்ரேரங்கத்தில்
aankalilum,ஆண்களிலும்,ஆண்களிலும்
gati,கடி,கட்ி
matravargalaiyum,மற்றவர்களையும்,மற்றவர்களையும்
kaankirathu,காண்கிறது,காண்கிறது
siirutaip,சீருடைப்,சிறிமுடைப்
paduthuk,படுத்துக்,படுத்கு
chellavendum,செல்லவேண்டும்,செல்லவெண்டும்
piiddi,பீட்டி,பிட்டி
chakthi,ஓம்,சக்தி
thadaykalayth,தடைகளைத்,தடைக்களைத்
vaalin,வாலின்,வாலின்
rawlani,ரவ்லாணி,ரல்லானி
powers,பவர்ஸ்,போவர்ஸ்
vaazhvathu,வாழ்வது,வாழ்வது
bambaram,பம்பரம்,பம்பரம்
maharashtra,மகாராஷ்ட்ரா,மாசரர்த
ina,ஐநா,னன
pirathesanggalukkum,பிரதேசங்களுக்கும்,பிரதீசங்களுக்கும்
onnum,ஒன்னும்,ஒன்னும்
purinthum,புரிந்தும்,புறிந்தும்
seiyyappattirunthaan,செய்யப்பட்டிருந்தான்,செய்யைப்பட்டிருந்தான்
pirushadhanukku,பிருஷதனுக்கு,பிரிஷதனுக்கு
apparels,அப்பேரல்ஸ்,அப்பர்லச்
valimaiyaana,வலிமையான,வளிமையான
nirvaagaththirkum,நிர்வாகத்திற்கும்,நிற்வாகத்திற்கும்
yeno,ஏனோ,யெனோ
beltran,பெல்டிரான்,பெல்றர்
roower,ரோவர்,ரேரே்
agamadhabaatthil,அகமதாபாத்தில்,அகமாகத்ததில்
vaethaththin,வேதத்தின்,வீதத்தின்
aththiyaayangkalil,அத்தியாயங்களில்,அத்தியாயங்களில்
roanoke,ரோவனோகே,ரானோகே
airoappiya,அய்ரோப்பிய,ஆரோப்பியய
sikkith,சிக்கித்,சிக்கித்
asansol,அசன்சோல்,அச்சல்ல்
kulangkalin,குளங்களின்,குளங்களின்
axis,ஆக$ஸிஸ்,அகிச்
adhikamaanathu,அதிகமானது,அதிகமானது
keeliranki,கீழிறங்கி,கீலிரங்கி
maeni,மேனி,மேனி
varma,வர்மா,வர்மா
koodum,இருக்கக்,கூடும்
karuththa,கருத்த,கருத்த
imayamalaiyin,இமயமலையின்,இமைமலையின்
ierppu,ஈர்ப்பு,எர்ப்பு
puroktarai,புறொக்டரை,புரோக்கர்
shanthi,சாந்தி,ஷந்தி
sarbiya,செர்பியா,சர்பிய
akkiramaththinaruku,அக்கிராமத்தினருக்கு,அக்கிரமிதததிுகககு
poattikkaaga,போட்டிக்காக,போட்டிக்காக
kulangkalaiyum,குளங்களையும்,குளங்களையும்
machine,மஷீன்,மச்சினே
orissa,ஒரிசா,ஒரிச்சா
kandarinththathu,கண்டறிந்தது,கண்டரிந்ததது
sithiraip,சித்திரைப்,சிறிரைப்
varuththappattuch,வருத்தப்பட்டுச்,வருத்தப்பட்டுச்
loodhiaanaa,லூதியானா,லூதியான
samprathaaya,சம்பிரதாய,சம்பர்தாய
wabag,வபாக்,வாகப்
moorththiyaaga,மூர்த்தியாக,மூர்த்தியாக
thehivalai,தெஹிவளை,தீய்வலை
walls,வால்ஸ்,வலல்ஸ்
kamio,கேமியோ,கமேயோ
oill,ஆயில்,யெல்ல்
bano,பனோ,பானோ
irukkinrom,இருக்கின்றோம்,இருக்கின்போர்
paarththirukkiren,பார்த்திருக்கிறேன்,பார்த்திருக்கிறேன்
tharaththaik,தரத்தைக்,தரத்தைக்
tinplate,டின்ப்ளேட்,தின்லப்டே
kohima,கோஹிமா,கோய்மா
aaduvar,ஆடுவர்,ஆடுவர்
kedum,கெடும்,கெடும்
vaakanam,வாகனம்,வாகனம்
nadhikalum,நதிகளும்,நதிகளும்
kizhiththu,கிழித்து,கிழித்து
thaervai,தேர்வை,தேர்வை
uuvaa,ஊவா,உவா
sankar,பிரபு,சங்கர்
boron,போரான்,போர்ன்
sanchi,சாஞ்சி,சஞ்சி
aekapoagam,ஏகபோகம்,ஆகோகம்
panigazhum,பணிகளும்,பணிகழும்
jharia,ஜாரியா,ஜரியா
ramachchandran,ராமச்சந்திரன்,ரமமச்சன்றன்
lakshmi,லெட்சுமி,லாக்ம்சி
makalath,மகளைத்,கசலத்
muthalamaicharin,முதலமைச்சரின்,முதலமைச்சிி்
panigazhaiyum,பணிகளையும்,பணிகழையும்
robles,ராப்லெஸ்,ராலபப்
gold,கோல்ட்,கோல்ட்
thandavaalanggal,தண்டவாளங்கள்,தன்டவலங்களக்
urudhiyudan,உறுதியுடன்,உறுதியுடன்
stephens,ஸ்டீபென்ஸ்,ஸ்டெப்பென்
seithuvittaar,செய்துவிட்டார்,செய்துவிட்டார்
adangiyathu,அடங்கியது,அடங்கியது
sirca,சிர்கா,சிற்கா
amerikkar,அமெரிக்கர்,அமெர்க்கர்
thodarbukku,தொடர்புக்கு,தொடர்புக்கு
idukki,இடுக்கி,இடுக்கி
seyalmuraikal,செயல்முறைகள்,செயல்முறைகள்
gureila,கொரில்லா,குரியேல
udpuramaaka,உட்புறமாக,உட்புரமாக
baathaikalai,பாதைகளை,பாதைகள்
kaakiranul,காகிரனுல்,காகிரனுள்
edukkappadaamal,எடுக்கப்படாமல்,எடுக்கப்படமால்
veliyidappattana,வெளியிடப்பட்டன,வெளியிடப்பட்டன
manathil,அடி,மனதில்
loodhiana,லூதியானா,லூதினா
foseco,ஃபோசெகோ,போசோசா
padikku,படிக்கு,படிக்கு
pinthu,பிந்து,பின்து
oppanthaththil,ஒப்பந்தத்தில்,ஒப்பந்தத்தில்
pathippiththa,பதிப்பித்த,பதிப்பித்த
aruppukkottai,அருப்புக்கோட்டை,அருப்புக்கொட்டை
panbaadum,பண்பாடும்,பண்பாடும்
jodha,ஜோதா,ஜோத
kalai,கலாய்,கலா
aadippoora,ஆடிப்பூர,ஆடிப்பூர
zoordan,ஜோர்டான்,ஓூர்டன்
ccameeo,கேமியோ,க்கமேய
uurvalamaaka,ஊர்வலமாக,உற்வலமாக
ezhuthukiren,எழுதுகிறேன்,எழுகுகிறேன்
anthantha,அந்தந்த,அந்தந்த
seithanar,செய்தனா்,செய்தனர்
mikey,மிக்கி,மிக்ய
seyalpaduvathu,செயல்படுவது,செயல்படுவது
thanthiraththai,தந்திரத்தை,தந்திரத்தை
sarathigal,சாரதிகள்,சரதிகள்
ethirkkatchi,எதிர்க்கட்சி,எதிர்க்கக்சி
viththiyaasamaaga,வித்தியாசமாக,வித்தியசாமாக
pulappaduththiyullaar,புலப்படுத்தியுள்ளார்,புளப்படுத்தியுள்ளார்
rane,ராணே,ரானே
holloway,ஹாலோவே,ஹோல்லோய்
harbour,ஹார்பர்,ஹர்போர்
muyandraar,முயன்றார்,மியந்தார்
foodworks,ஃபுட்வொர்க்ஸ்,பூட்ரரர்க்
tharasaa,தரஸா,தராசா
dohrey,டோஹ்ரே,தோர்யி
needhimandraththai,நீதிமன்றத்தை,நீதிமன்றத்தை
sambrathaayamaana,சம்பிரதாயமான,சம்பரியாமான
ponnaiyum,பொன்னையும்,பொன்னையும்
mathiyaarasu,மத்தியஅரசு,மதிராசசு
vizhikkungaal,விழிக்குங்கால்,விழிக்குங்கால்
pilaikal,பிழைகள்,பிலைகள்
seruppaip,செருப்பைப்,செறுப்பைப்
nagpur,நாக்பூர்,நாக்புர்
nadappadhaga,நடப்பதாக,நடப்படக
nisaan,நிசான்,நிசான்
latchaththirkum,இலட்சத்திற்கும்,லட்சத்திற்கும்
karumpalahaiyil,கரும்பலகையில்,கர்ம்பலுசையில்
bhadauria,பதௌரியா,படடுரியா
thala,தள,தல
oththuzhaikka,ஒத்துழைக்க,ஒத்துழைக்க
kulatthu,குளத்து,குளத்து
viluppuram,விழுப்புரம்,விளுப்புறம்
dhairiyam,தைரியம்,தைரியம்
seiyyappattirunthu,செய்யப்பட்டிருந்து,செய்யைப்பட்டிருந்து
muhammat,முஹம்மத்,மாமம்்ட
tayaaraanathu,தயாரானது,தயாராது
weter,வாட்டர்,வெட்ர்
needikkiradhu,நீடிக்கிறது,நீடிக்கிறது
vanchi,வஞ்சி,வச்சி
innovation,இன்னோவேஷன்,இன்னெவிடன்
sype,சைப்,ஸ்யோப்
kaanbiththaar,காண்பித்தார்,காண்பித்தார்
annapolis,அன்னாபோலிஸ்,அன்னபோசிி்
roam,ரோம்,ரோம்
aster,ஆஸ்டெர்,அஸ்டேர்
arinthen,அறிந்தேன்,அரிந்தேன்
sukku,சுக்கு,சுக்கு
veelchchiyilirunththu,வீழ்ச்சியிலிருந்து,வெழ்சியிலிருந்துது
azhuththi,அழுத்தி,அழுத்தி
irunthirupadhagath,இருந்திருப்பதாகத்,இருந்திருப்பதத்
koduthirupathaagavum,கொடுத்திருப்பதாகவும்,கொடுதிருப்பதாகவும்
random,ரேண்டம்,ராண்டம்
narala,நரலா,நரால
ipparavai,இப்பறவை,இப்பரவை
vanthiyaththaevan,வந்தியத்தேவன்,வந்தியத்தேவன்
vikram,விக்ரம்,விக்ரம்
veedic,வேதக்,வீடிச்
bean,பீன்,பேன்
mandham,மந்தம்,மந்தம்
ankeny,அன்கேனி,அன்க்னி
maruththuvarai,மருத்துவரை,மறுத்துவரை
landanil,லண்டனில்,லல்நனில்
carr,கார்,காரர்
irundhadhillai,இருந்ததில்லை,இருந்ததில்லை
nobel,நோபல்,நோபோல்
kudumbaththinarudan,குடும்பத்தினருடன்,குடும்பத்திருந்தன்
randolph,ரான்டால்ப்,ரண்லோப்ப்
kuuttankalukku,கூட்டங்களுக்கு,குட்டங்களுக்கு
nuraiyiiralil,நுரையீரலில்,நுறையிலிலல்
irukkap,இருக்கப்,இருக்கப்
yavvithaththilum,எவ்விதத்திலும்,வவ்விதத்திலும்
bogie,போகி,போகி
utpuramaaga,உட்புறமாக,உட்புரமாக
mastek,மாஸ்டெக்,மாஸ்டக்
ottagangal,ஒட்டகங்கள்,ஒட்டகங்கள்
poayinar,போயினர்,போயினர்
ottaganggal,ஒட்டகங்கள்,ஒட்டகங்கள்
wheeling,வீலிங்,வீலிங்
innalgal,இன்னல்கள்,இன்லல்கள்
echchil,எச்சில்,எச்சில்
tylar,டைலர்,ட்லார்
suuppirandu,சூப்பிரண்டு,சுப்பிரினடு
hungaryyil,ஹங்கேரியில்,நுங்கர்யில்
tamilarinar,தமிழறிஞர்,தமிலரினர்
nun,நுண்,னுன்
ippaadhai,இப்பாதை,இப்பாதை
alavukatandhtha,அளவுகடந்த,அளவுக்கந்தத
sei,சேய்,செய்
khambhat,கம்பட்,காப்பத்
seiveerkal,செய்வீர்கள்,செய்வீர்கள்
sioux,சியோக்ஸ்,சையோக்
pirammam,பிரம்மம்,பிரம்மம்
longview,லாங்வ்யூ,லோங்விவோ
chalukiyargal,சாளுக்கியர்கள்,சலுகியர்கள்
thalaimaiyaetroor,தலைமையேற்றார்,தலைமையர்்ோரர
padalankal,படலங்கள்,படலங்கள்
niraivaaga,நிறைவாக,நிறைவாக
teamlease,டீம்லீஸ்,டால்மேசே
baathai,பாதை,பாதை
nirvaagikalai,நிர்வாகிகளை,நிற்வாக்களை
paguthiyirukkiradhu,பகுதியிருக்கிறது,பகுதியிருக்கிறது
kodooramaaka,கொடூரமாக,கொடூரமாக
bapat,பாபட்,பாட்
jadav,ஜாதவ்,ஜடவ்
adhirupthiyai,அதிருப்தியை,அதிருப்பியை
urudhiyaana,உறுதியான,உறுதியான
titagarh,டிடாகர்,டிடககர்
kiits,கீட்ஸ்,கிய்்்்
matheran,மதேரான்,மதேரன்
lindaa,லிண்டா,லின்டா
aachiramam,ஆசிரமம்,ஆச்சரமம்
plyboards,பிளைபோர்ட்ஸ்,பில்யார்்்்்
nadanthappattathu,நடந்தப்பட்டது,நடந்தப்பட்டது
pigmees,பியார்,பிக்மம்
dhoranai,தோரணை,தோரனை
kondirukkavillai,கொண்டிருக்கவில்லை,கொண்டிருக்கவில்லை
semiththirunthaalum,சேமித்திருந்தாலும்,செமித்திருந்தாலும்
thagavalarindhu,தகவலறிந்து,தகவரரில்து
priya,ப்ரியா,பிரியா
dumka,தும்கா,டும்க
aanaiyathil,ஆணையத்தில்,ஆணையதில்
apar,அபர்,அபர்
meesamsam,மீசாம்சம்,மீசம்சம்
magilnthu,மகிழுந்து,மகில்ந்து
